Year,Winner,Runner-Up,Score
2022,Liverpool ,Chelsea,0-0 (p 6–5)
2021,Leicester City,Chelsea,1-0
2020,Arsenal,Chelsea,2-1
2019,Manchester City,Watford,6-0
2018,Chelsea,Manchester,1–0
2017,Arsenal,Chelsea,2–1
2016,Manchester United,Crystal Palace,2–1 aet
2015,Arsenal,Aston Villa,4–0
2014,Arsenal,Hull City,3–2 aet
2013,Wigan Athletic,Manchester City,1–0
2012,Chelsea,Liverpool,2–1
2011,Manchester City,Stoke City,1-0
2010,Chelsea,Portsmouth,1-0
2009,Chelsea,Everton,2-1
2008,Portsmouth,Cardiff City,1-0
2007,Chelsea,Manchester United,1-0
2006,Liverpool,West Ham United,3-3 aet
2005,Arsenal,Manchester United,0-0 aet
2004,Manchester United,Millwall,3-0
2003,Arsenal,Southampton,1-0
2002,Arsenal,Chelsea,2-0
2001,Liverpool,Arsenal,2-1
2000,Chelsea,Aston Villa,1-0
1999,Manchester United,Newcastle United,2-0
1998,Arsenal,Newcastle United,2-0
1997,Chelsea,Middlesbrough,2-0
1996,Manchester United,Liverpool,1-0
1995,Everton,Manchester United,1-0
1994,Manchester United,Chelsea,4-0
1993 - replay,Arsenal,Sheffield Wednesday,2-1 aet
1993 - first game,Arsenal,Sheffield Wednesday,1-1 aet
1992,Liverpool,Sunderland,2-0
1991,Tottenham Hotspur,Nottingham Forest,2-1 aet
1990 - replay,Manchester United,Crystal Palace,1-0
1990,Manchester United,Crystal Palace,3-3 aet
1989,Liverpool,Everton,3-2 aet
1988,Wimbledon,Liverpool,1-0
1987,Coventry City,Tottenham Hotspur,3-2 aet
1986,Liverpool,Everton,3-1
1985,Manchester United,Everton,1-0 aet
1984,Everton,Watford,2-0
1983 - replay,Manchester United,Brighton and Hove Albion,4-0
1983,Manchester United,Brighton and Hove Albion,2-2 aet
1982 - replay,Tottenham Hotspur,Queens Park Rangers,1-0
1982,Tottenham Hotspur,Queens Park Rangers,1-1 aet
1981 - replay,Tottenham Hotspur,Manchester City,3-2
1981,Tottenham Hotspur,Manchester City,1-1 aet
1980,West Ham United,Arsenal,1-0
1979,Arsenal,Manchester United,3-2
1978,Ipswich Town,Arsenal,1-0
1977,Manchester United,Liverpool,2-1
1976,Southampton,Manchester United,1-0
1975,West Ham United,Fulham,2-0
1974,Liverpool,Newcastle United,3-0
1973,Sunderland,Leeds United,1-0
1972,Leeds United,Arsenal,1-0
1971,Arsenal,Liverpool,2-1 aet
1970 - replay,Chelsea,Leeds United,2-1
1970,Chelsea,Leeds United,2-2 aet
1969,Manchester City,Leicester City,1-0
1968,West Bromwich Albion,Everton,1-0 aet
1967,Tottenham Hotspur,Chelsea,2-1
1966,Everton,Sheffield Wednesday,3-2
1965,Liverpool,Leeds United,2-1 aet
1964,West Ham United,Preston North End,3-2
1963,Manchester United,Leicester City,3-1
1962,Tottenham Hotspur,Burnley,3-1
1961,Tottenham Hotspur,Leicester City,2-0
